id,Latitude,Longitude,name
319,41.25,-72.25,LO-72.25_LA41.25.png
320,41,-72.25,LO-72.25_LA41.0.png
321,41.25,-72,LO-72.0_LA41.25.png
322,41,-72,LO-72.0_LA41.0.png
323,41.25,-71.75,LO-71.75_LA41.25.png
324,41.75,-71.5,LO-71.5_LA41.75.png
325,41.5,-71.5,LO-71.5_LA41.5.png
326,41.25,-71.5,LO-71.5_LA41.25.png
327,41.75,-71.25,LO-71.25_LA41.75.png
328,41.5,-71.25,LO-71.25_LA41.5.png
329,42.5,-71,LO-71.0_LA42.5.png
330,42.25,-71,LO-71.0_LA42.25.png
331,43.25,-70.75,LO-70.75_LA43.25.png
332,41.5,-71,LO-71.0_LA41.5.png
333,43,-70.75,LO-70.75_LA43.0.png
334,42.75,-70.75,LO-70.75_LA42.75.png
335,42.5,-70.75,LO-70.75_LA42.5.png
336,42.25,-70.75,LO-70.75_LA42.25.png
337,42,-70.75,LO-70.75_LA42.0.png
338,43.5,-70.5,LO-70.5_LA43.5.png
339,41.75,-70.75,LO-70.75_LA41.75.png
340,43.25,-70.5,LO-70.5_LA43.25.png
341,41.5,-70.75,LO-70.75_LA41.5.png
342,41.25,-70.75,LO-70.75_LA41.25.png
343,42.75,-70.5,LO-70.5_LA42.75.png
344,42.5,-70.5,LO-70.5_LA42.5.png
345,43.75,-70.25,LO-70.25_LA43.75.png
346,42,-70.5,LO-70.5_LA42.0.png
347,43.5,-70.25,LO-70.25_LA43.5.png
348,41.75,-70.5,LO-70.5_LA41.75.png
349,41.5,-70.5,LO-70.5_LA41.5.png
350,41.25,-70.5,LO-70.5_LA41.25.png
351,43.75,-70,LO-70.0_LA43.75.png
352,42,-70.25,LO-70.25_LA42.0.png
353,41.75,-70.25,LO-70.25_LA41.75.png
354,41.25,-70.25,LO-70.25_LA41.25.png
355,44,-69.75,LO-69.75_LA44.0.png
356,43.75,-69.75,LO-69.75_LA43.75.png
357,42,-70,LO-70.0_LA42.0.png
358,41.75,-70,LO-70.0_LA41.75.png
359,41.5,-70,LO-70.0_LA41.5.png
360,41.25,-70,LO-70.0_LA41.25.png
361,44,-69.5,LO-69.5_LA44.0.png
362,43.75,-69.5,LO-69.5_LA43.75.png
363,44,-69.25,LO-69.25_LA44.0.png
364,44.5,-69,LO-69.0_LA44.5.png
365,44.25,-69,LO-69.0_LA44.25.png
366,44,-69,LO-69.0_LA44.0.png
367,44.5,-68.75,LO-68.75_LA44.5.png
368,44.25,-68.75,LO-68.75_LA44.25.png
369,44.5,-68.5,LO-68.5_LA44.5.png
370,44.25,-68.5,LO-68.5_LA44.25.png
371,44.25,-68.25,LO-68.25_LA44.25.png
372,44.5,-68,LO-68.0_LA44.5.png
373,44.5,-67.75,LO-67.75_LA44.5.png
374,44.75,-67.5,LO-67.5_LA44.75.png
375,44.5,-67.5,LO-67.5_LA44.5.png
376,44.75,-67.25,LO-67.25_LA44.75.png
377,45.25,-67,LO-67.0_LA45.25.png
378,45,-67,LO-67.0_LA45.0.png
379,44.75,-67,LO-67.0_LA44.75.png
380,44.5,-67,LO-67.0_LA44.5.png
381,45.25,-66.75,LO-66.75_LA45.25.png
382,45,-66.75,LO-66.75_LA45.0.png
383,44.75,-66.75,LO-66.75_LA44.75.png
384,45.25,-66.5,LO-66.5_LA45.25.png
385,45,-66.5,LO-66.5_LA45.0.png
386,45.25,-66.25,LO-66.25_LA45.25.png
387,45,-66.25,LO-66.25_LA45.0.png
388,44.5,-66.25,LO-66.25_LA44.5.png
389,44.25,-66.25,LO-66.25_LA44.25.png
390,44,-66.25,LO-66.25_LA44.0.png
391,43.75,-66.25,LO-66.25_LA43.75.png
392,45.25,-66,LO-66.0_LA45.25.png
393,44.5,-66,LO-66.0_LA44.5.png
394,44.25,-66,LO-66.0_LA44.25.png
395,43.75,-66,LO-66.0_LA43.75.png
396,45.25,-65.75,LO-65.75_LA45.25.png
397,44.75,-65.75,LO-65.75_LA44.75.png
398,45.5,-65.5,LO-65.5_LA45.5.png
399,43.75,-65.75,LO-65.75_LA43.75.png
400,45.25,-65.5,LO-65.5_LA45.25.png
401,43.5,-65.75,LO-65.75_LA43.5.png
402,45,-65.5,LO-65.5_LA45.0.png
403,44.75,-65.5,LO-65.5_LA44.75.png
404,45.5,-65.25,LO-65.25_LA45.5.png
405,43.5,-65.5,LO-65.5_LA43.5.png
406,45,-65.25,LO-65.25_LA45.0.png
407,45.75,-65,LO-65.0_LA45.75.png
408,45.5,-65,LO-65.0_LA45.5.png
409,43.75,-65.25,LO-65.25_LA43.75.png
410,45.25,-65,LO-65.0_LA45.25.png
411,43.5,-65.25,LO-65.25_LA43.5.png
412,45,-65,LO-65.0_LA45.0.png
413,45.75,-64.75,LO-64.75_LA45.75.png
414,45.5,-64.75,LO-64.75_LA45.5.png
415,43.75,-65,LO-65.0_LA43.75.png
416,45.25,-64.75,LO-64.75_LA45.25.png
417,45.75,-64.5,LO-64.5_LA45.75.png
418,44,-64.75,LO-64.75_LA44.0.png
419,45.5,-64.5,LO-64.5_LA45.5.png
420,43.75,-64.75,LO-64.75_LA43.75.png
421,45.25,-64.5,LO-64.5_LA45.25.png
422,44.25,-64.5,LO-64.5_LA44.25.png
423,44,-64.5,LO-64.5_LA44.0.png
424,45.5,-64.25,LO-64.25_LA45.5.png
425,45.25,-64.25,LO-64.25_LA45.25.png
426,44.5,-64.25,LO-64.25_LA44.5.png
427,44.25,-64.25,LO-64.25_LA44.25.png
428,45.5,-64,LO-64.0_LA45.5.png
429,45.25,-64,LO-64.0_LA45.25.png
430,44.75,-64,LO-64.0_LA44.75.png
431,44.5,-64,LO-64.0_LA44.5.png
432,45.5,-63.75,LO-63.75_LA45.5.png
433,45.25,-63.75,LO-63.75_LA45.25.png
434,44.5,-63.75,LO-63.75_LA44.5.png
435,45.5,-63.5,LO-63.5_LA45.5.png
436,45.25,-63.5,LO-63.5_LA45.25.png
437,44.75,-63.5,LO-63.5_LA44.75.png
438,44.5,-63.5,LO-63.5_LA44.5.png
439,44.75,-63.25,LO-63.25_LA44.75.png
440,44.75,-63,LO-63.0_LA44.75.png
